TARGET_CLASS,COVERAGE_GA,TIME_GA,COVERAGE_RAND,TIME_RAND,DIF_COVERAGE,DIF_TIME,Project,Package,Class,INT-INT,INT-FLOAT,FLOAT-FLOAT,BOOL-BOOL,REF-REF,REF-NULL,VARVAR,VAREXP,VARMETHOD,VARCONST,VARARRAY,EXPEXP,EXPMETHOD,EXPCONST,EXPARRAY,METHODMETHOD,METHODCONST,METHODARRAY,CONSTCONST,CONSTARRAY,ARRAYARRAY,NLp,NNLp,Nodes,Edges,CompCicl,NPths,PS,NCtr,NEl,NCtt,NVar,NEx,NMC,NIC,NIntC,NEC,NInt,NFlt,NNull,NArr,NStr,NObj,NLExp,UPC,Args,Lob,CLASS
org.exolab.jms.tools.db.TableDescriptor,0.673520114942529,88406,0.731360153256705,83609,-0.057840038314176,1.05737420612613,org.exolab.jms.tools.db.TableDescriptor,0.673520114942529,88406,0.731360153256705,83609,-0.057840038314176,1.05737420612613,RANDOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
visu.handball.moves.views.StatusBar,0.902307091991025,115127,0.816397587227262,102661,0.085909504763763,1.12142878015994,/home/gramos/USP/MSI/56_jhandballmoves,visu.handball.moves.views,StatusBar,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0.133333,3.733333,0,0,1.4,0,0,0,44,72,30,30,7.833334,5.266667,23.533333,5.8,7.6,0,10.133333,0,6.7,2.766667,6.133333,0,2.533333,0,0,12.8,0,1,1,275,GA
org.dom4j.tree.QNameCache,0.454568667827315,86771,0.40327749454204,88988,0.051291173285275,0.975086528520699,/home/gramos/USP/MSI/62_dom4j,org.dom4j.tree,QNameCache,0,0,0,0.5,0.333333,0.25,0.333333,0,0,0.583333,0,0,0,0,0,0,0.694444,0,0.388889,0,0,0.333333,0,5.666667,6.333333,3,3,4.111111,2,6,2.055556,2.138889,0,1.805556,0.111111,0,1.694444,1,0,1.555556,0.444444,0,3.444444,0,0.333333,1,31.333333,GA
net.sf.sugar.fspath.xpath.RegexFunctionResolver,0.990384615384615,66299,0.989010989010989,9007,0.001373626373626,7.36083046519374,/home/gramos/USP/MSI/60_sugar,net.sf.sugar.fspath.xpath,RegexFunctionResolver,0,0,0,0.666667,0,0,0,0,0,1,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,4,4,3,3,2.666667,1.666667,6,1.666667,2.333333,0,2,0,0,2,3.333334,0,0,0,0,2.666667,0,0,0,16,GA
org.jcvi.jillion.core.util.iter.ChainedIterator,0.916666666666667,74061,0.841145833333333,67591,0.075520833333334,1.0957228033318,/home/gramos/USP/MSI/92_jcvi-javacommon,org.jcvi.jillion.core.util.iter,ChainedIterator,0,0,0,0.916667,0.416667,0,0.416667,0,0,0,0,0,0,0,0,0,0.916667,0,0,0,0,0,0,4.25,3.75,2.5,2.5,2.583333,1.333333,3.583333,1.166667,1.5,0,0.916667,0.25,0,0.666667,1.833333,0,0.25,0,0,1.5,0,0.25,0,25,GA
macaw.presentationLayer.VariableSelectionDialog,0.182492897727273,63684,0.291988636363636,62560,-0.109495738636363,1.01796675191816,/home/gramos/USP/MSI/69_lhamacaw,macaw.presentationLayer,VariableSelectionDialog,0,0,0,0,0,0,0,0,0.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2.5,2.5,2.666667,1.333333,3,0,1.666667,0.5,0.833333,0,0,0.833333,0,0,0,0,0,2.5,0,0,0,15,RANDOM
org.dom4j.tree.AbstractElement,0.589860053912089,216502,0.659229538161955,213936,-0.069369484249866,1.01199424126842,/home/gramos/USP/MSI/62_dom4j,org.dom4j.tree,AbstractElement,0,0,0,0.806516,0.025641,0.025641,0.025641,0,0.067521,0.182401,0,0,0.162507,0,0,0,1.968595,0,0.021978,0.012821,0,0.512821,0.025641,6.923077,8,3.948718,3.948718,4.494711,2.467105,9.03474,3.260065,1.080625,0.025641,4.668409,1.937562,0.352337,2.159796,3.874478,0,0.744877,0.578449,0,4.00611,0,0.076923,0.846154,34.897436,RANDOM
org.exolab.jms.net.KillServiceImpl__Proxy,0.975,69519,0.657142857142857,69946,0.317857142857143,0.993895290652789,/home/gramos/USP/MSI/66_openjms,org.exolab.jms.net,KillServiceImpl__Proxy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2.5,2.5,2.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,GA
org.exolab.jms.tools.migration.master.MasterUserStore,0.344642857142857,85427,0.45952380952381,83188,-0.114880952380953,1.02691493965476,/home/gramos/USP/MSI/66_openjms,org.exolab.jms.tools.migration.master,MasterUserStore,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1,0,4,4,2,2,4,1.5,7.5,1.5,2.25,0,3.75,0,3,0.75,3,0,0,0,0,4.5,0,1,0,25,RANDOM
com.sap.engine.services.dc.wsgate.ArchiveFile,0.905516661451815,97940,0.873781959592348,91783,0.031734701859467,1.06708213939401,/home/gramos/USP/MSI/101_netweaver,com.sap.engine.services.dc.wsgate,ArchiveFile,0,0,0,1.285714,0.5,0.857143,0.5,0,0,2.178572,0,0,0.214286,0,0,0,2.464286,0,0,0,0,0.5,0,17,23,10.5,10.5,7.392857,5.357143,14.178572,5.928572,4.285715,0,3.964286,1.714286,0.464286,1.285714,4.142857,0,3.071428,0.428571,1.571429,5.928571,0,0.5,0,61,GA
