TARGET_CLASS,COVERAGE_GA,TIME_GA,COVERAGE_RAND,TIME_RAND,DIF_COVERAGE,DIF_TIME,Project,Package,Class,INT-INT,INT-FLOAT,FLOAT-FLOAT,BOOL-BOOL,REF-REF,REF-NULL,VARVAR,VAREXP,VARMETHOD,VARCONST,VARARRAY,EXPEXP,EXPMETHOD,EXPCONST,EXPARRAY,METHODMETHOD,METHODCONST,METHODARRAY,CONSTCONST,CONSTARRAY,ARRAYARRAY,NLp,NNLp,Nodes,Edges,CompCicl,NPths,PS,NCtr,NEl,NCtt,NVar,NEx,NMC,NIC,NIntC,NEC,NInt,NFlt,NNull,NArr,NStr,NObj,NLExp,UPC,Args,Lob,CLASS
gui.ModuleBrowserDialog,0.277777777777778,82028,0.37037037037037,69335,-0.092592592592592,12693,/home/gramos/USP/MSI/27_gangup,gui,ModuleBrowserDialog,0,0,0,2.798701,0,0,0,0.5,0,1.857143,0,0,0,1.5,0,0,3.584416,0,0,0,0,2,0,31,53,30,31,20.262986,9.006493,60.058441,20.168831,13.227273,1.564935,25.097403,1.5,0.571429,23.025973,23.097403,0,0.285714,8.012987,5.357143,29.811687,0,1,3,270,RANDOM
mygrid.JobProcessor,0.140333850931677,67952,0.081780538302278,85639,0.058553312629399,-17687,/home/gramos/USP/MSI/59_mygrid,mygrid,JobProcessor,0,0,0,0.666667,0,0,0,0.666667,0.666667,2,0,0,0,0,0,0,0.666667,0,0,0,0,2,0,12,12,6,6,8.666667,4,23.333334,5.333333,8,0,10,0,9.333333,0.666667,8.666667,0,0,1.333333,3.333333,14.666666,0,0,3,93,GA
net.sourceforge.schemaspy.ui.DbTypeSelectorModel,0.732738095238095,68776,0.508630952380952,79459,0.224107142857143,-10683,/home/gramos/USP/MSI/36_schemaspy,net.sourceforge.schemaspy.ui,DbTypeSelectorModel,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,1,0,9,12,5,5,6,3.2,17.6,3.6,0.8,0,13.2,1,3.6,8.6,4.4,0,1,0.8,0,11.8,0,0,0,66,GA
com.browsersoft.openhre.hl7.impl.config.HL7DataTypeMapImpl,0.952917771883289,65802,0.913654951370469,6186,0.03926282051282,59616,/home/gramos/USP/MSI/75_openhre,com.browsersoft.openhre.hl7.impl.config,HL7DataTypeMapImpl,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,14,13,8,8,12.5,5,21,6,8.5,0,6.5,1.5,0,5,11,0,0,2,3,10,0,0,2,106,GA
net.sf.xbus.technical.as400.AS400FileSender,0.161869600160739,70782,0.073739200321479,65867,0.08813039983926,4915,/home/gramos/USP/MSI/83_xbus,net.sf.xbus.technical.as400,AS400FileSender,0,0,0,4.345238,0,0,0,0,0,1,0,0,0,0,0,0,4.345238,0,0,0,0,1,0,25,33,22,21,16.821428,7.892857,33.309524,12.666667,9.119048,2.547619,8.97619,0,2.25,6.72619,8.690476,0,1,12.476191,0,13.75,0,1,7,223,GA
org.petsoar.actions.inventory.InventorySavePet,0.882280058651026,89761,0.844780058651026,104220,0.0375,-14459,/home/gramos/USP/MSI/37_petsoar,org.petsoar.actions.inventory,InventorySavePet,0,0,0,3.3,0,0,0,0,0,2.3,0,0,0,0,0,0,1.8,0,1,0,0,0,0,16,23,10,10,7.5,5.1,11.4,6.1,3.1,0,2.2,1,0.8,0.4,9.599999,0,0.3,0,0,1.5,0,1,0,97,GA
osa.ora.server.utils.StringEncrypter,0.984375,69046,0.964285714285714,6404,0.020089285714286,62642,/home/gramos/USP/MSI/73_fim1,osa.ora.server.utils,StringEncrypter,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,8,8,9.333333,3.666667,5.666667,2,2,1.666667,0,0,0,0,0,0,2,2,0,2,0,0,2,142,GA
mygrid.web._Fail,0.889578956582633,68799,0.845743297318928,82632,0.043835659263705,-13833,/home/gramos/USP/MSI/59_mygrid,mygrid.web,_Fail,0,0,0,2.2,1,2.5,1,0,0,3.5,0,0,0,0,0,0,2.066667,0,0,0,0,0,0,23,27,13,13,9.6,6.566667,15.933333,6.566667,7.1,0,2.266667,0.666667,0.6,0,4.4,0,3.366667,0,0,7.166667,0,1,0,79,GA
de.huxhorn.lilith.elementprocessors.LoggingEventThreadNameProcessor,0.987903225806452,75139,0.983870967741936,78052,0.004032258064516,-2913,/home/gramos/USP/MSI/43_lilith,de.huxhorn.lilith.elementprocessors,LoggingEventThreadNameProcessor,0,0,0,1.933333,0,2,0,0,0,2,0,0,0,0,0,0,6.633333,0,0.8,0,0,1,0,30,37,16,16,13.2,9.433333,35.099998,10.233333,9.166667,0,15.7,0,7.466666,8.233333,7.266667,0,5.8,0,0,22.033333,0,0,1,93,GA
org.heal.servlet.userreview.SubmitUserReviewAction,0.509761072261072,67246,0.509761072261072,70136,0,-2890,/home/gramos/USP/MSI/96_heal,org.heal.servlet.userreview,SubmitUserReviewAction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,12,5,5,5.8,1.6,4.6,2,1,0.6,1,0,0,1,0,0,1,1,0,2,0,0,0,168,RANDOM
org.petsoar.persistence.hibernate.HibernatePersistenceManager,0.700546664289058,82897,0.629714922501434,93639,0.070831741787624,-10742,/home/gramos/USP/MSI/37_petsoar,org.petsoar.persistence.hibernate,HibernatePersistenceManager,0,0,0,0,0,0,0,0.333333,0,3.716667,0,0,0,0,0,0,0,0,0,0,0,1,0,46,48,35,34,25.625,12.475,17.858333,4.383333,5.05,8.425,0,0,0,0,2.333333,0,3.05,0.8,0,0.8,0,0,10,212,GA
net.sf.xbus.protocol.java.JavaTransformer,0.328804347826087,70569,0.126086956521739,67078,0.202717391304348,3491,/home/gramos/USP/MSI/83_xbus,net.sf.xbus.protocol.java,JavaTransformer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,6,4,4,5,2,18,6,6,0,6,2,4,0,0,0,2,4,0,12,0,0,6,52,GA
net.sourceforge.squirrel_sql.client.gui.db.JTreeAliasesListImpl,0.173193380161771,86051,0.077109408258834,72753,0.096083971902937,13298,net.sourceforge.squirrel_sql.client.gui.db.JTreeAliasesListImpl,0.173193380161771,86051,0.077109408258834,72753,0.096083971902937,1.18278284057015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA
fr.unice.gfarce.identity.Formation,0.969551282051282,87105,0.910531135531136,73220,0.059020146520146,13885,/home/gramos/USP/MSI/8_gfarcegestionfa,fr.unice.gfarce.identity,Formation,0,0,0,2.25,0,0,0,0.75,0,1,0,0,0,0,0,0,2.25,0,0,0,0,1,0,11,13,6,6,9,4,27.75,6,11,0,10.75,0,0,10.75,13,0,0,0,3,14.75,0,1,1,54,GA
org.petsoar.persistence.hibernate.DefaultHibernateSessionFactory,0.445046439628483,79403,0.343210968597965,106230,0.101835471030518,-26827,/home/gramos/USP/MSI/37_petsoar,org.petsoar.persistence.hibernate,DefaultHibernateSessionFactory,0,0,0,2.5,0,3,0,0,0,3,0,0,0,0,0,0,3.5,0,0,0,0,0,0,22,25,16,16,15,8.5,18.5,7.5,5.5,2,3.5,0,0,3.5,5,0,4,1,0,6.5,0,0,1,98,GA
gui.GroupPanel,0.30344512195122,90428,0.106890243902439,69842,0.196554878048781,20586,/home/gramos/USP/MSI/27_gangup,gui,GroupPanel,0,0,0,3.111111,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,14,20,8,9,6.888889,5,21.11111,7,8,0,6.111111,0,3.666667,0.444444,8.444445,0,0.777778,0,0,9.888889,0,1,0,105,GA
org.jcvi.jillion.internal.trace.chromat.scf.section.Version2BasesSectionCodec,0.589646464646465,81851,0.511183261183261,72227,0.078463203463204,9624,org.jcvi.jillion.internal.trace.chromat.scf.section.Version2BasesSectionCodec,0.589646464646465,81851,0.511183261183261,72227,0.078463203463204,1.1332465698423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA
net.virtualinfinity.atrobots.gui.TestAccel,0.753478188239786,81612,0.605367824869543,159832,0.148110363370243,-78220,/home/gramos/USP/MSI/86_at-robots2-j,net.virtualinfinity.atrobots.gui,TestAccel,0,0,0,0,0,0,0.666667,0,0,0,0,0,1.666667,0,0,0,0,0,0,0,0,1,0,6,7,3,3,5.333334,2.333333,7,1.666667,2,0,3.333333,0,0,3.333333,6.333334,0,0,0,0,0,0,0,1,61,GA
org.jcvi.jillion.core.qual.DefaultQualitySymbolCodec,0.9375,73892,0.809523809523809,5781,0.127976190476191,68111,/home/gramos/USP/MSI/92_jcvi-javacommon,org.jcvi.jillion.core.qual,DefaultQualitySymbolCodec,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1,0,4,4,2,2,4,1.5,6,1.5,1.5,0,3,0,0,3,3,0,0,0,0,3,0,1,2,23,GA
org.jcvi.jillion.internal.assembly.util.DefaultSlice,0.928013749636733,78650,0.885471935068709,70563,0.042541814568024,8087,/home/gramos/USP/MSI/92_jcvi-javacommon,org.jcvi.jillion.internal.assembly.util,DefaultSlice,0,0,0,3.833333,1,0.875,1,0.333333,0,1.875,0,0,0,0,0,0,4.833333,0,0,0,0,3,1,26,27,13,13,15.333334,8.041667,29.083334,8.125,10.958334,0,10,2,0,7.25,12,0,1.875,1,0,13.125,0,2,3,108,GA
de.huxhorn.lilith.swing.preferences.SourceFilteringPanel,0.38231658692185,75369,0.134755449229133,111891,0.247561137692717,-36522,de.huxhorn.lilith.swing.preferences.SourceFilteringPanel,0.38231658692185,75369,0.134755449229133,111891,0.247561137692717,0.673593050379387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA
