TARGET,TYPE,COVERAGE_GA,TIME_GA,COVERAGE_RAND,TIME_RAND,DIF_COVERAGE,DIF_TIME,CBO,WNC,DIT,NOC,RFC,LCOM,NOM,NOPM,NOSM,NOF,NOPF,NOSF,NOSI,LOC
ghm.follow.search.LineResult,class,0.949675324675325,69111,0.902191558441558,13436,0.047483766233767,5.14371836856207,1,11,1,0,10,0,6,6,0,5,3,0,0,111
org.sourceforge.ifx.framework.element.DepAppMsgRec,class,1,4473,0.916666666666667,2770,0.083333333333333,1.61480144404332,1,2,2,0,1,1,2,2,0,0,0,0,0,40
com.allenstudio.ir.event.DateChooserEvent,class,1,40732,0.907407407407407,6889,0.092592592592593,5.91261431267238,0,3,1,0,0,0,3,3,0,2,0,0,0,48
dash.examples.buildConsumers.ParentComponent,class,0.9375,68758,0.916666666666667,4880,0.020833333333333,14.0897540983607,6,2,1,0,0,1,2,2,0,0,0,0,0,32
osa.ora.server.beans.Status,class,1,15762,1,8730,0,1.80549828178694,0,7,1,0,0,15,7,7,0,3,0,0,0,40
wheel.components.XmlEntityRef,class,0.916666666666667,71294,0.777777777777778,18330,0.138888888888889,3.88947081287507,2,3,3,0,1,1,3,3,0,1,0,0,0,35
org.sourceforge.ifx.framework.element.CardPrefAudRq,class,1,3921,0.916666666666667,2261,0.083333333333333,1.73418841220699,1,2,2,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.element.DaysCall,class,0.9375,62428,0.916666666666667,1560,0.020833333333333,40.0179487179487,1,2,4,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.element.CardPrefInqRq,class,1,3744,0.916666666666667,1912,0.083333333333333,1.9581589958159,1,2,2,0,1,1,2,2,0,0,0,0,0,40
com.lts.application.RepositoryListenerHelper,class,0.988636363636364,66087,0.883116883116883,72012,0.105519480519481,0.917722046325612,3,6,2,0,4,0,3,3,0,3,3,3,0,54
jaw.template.ModeloDeAplicacao,class,0.673986619926928,78688,0.618858414798723,77595,0.055128205128205,1.01408595914685,3,19,1,0,15,81,14,14,1,5,0,0,1,105
org.sourceforge.ifx.framework.element.DevSiuCimGuidelight,class,1,23292,0.916666666666667,1783,0.083333333333333,13.0633763320247,1,2,4,0,1,1,2,2,0,0,0,0,0,40
