TARGET,TYPE,COVERAGE_GA,TIME_GA,COVERAGE_RANDOM,TIME_RANDOM,DIF_COVERAGE,DIF_TIME,CBO,WNC,DIT,NOC,RFC,LCOM,NOM,NOPM,NOSM,NOF,NOPF,NOSF,NOSI,LOC,CLASS
ghm.follow.search.LineResult,class,0.949675324675325,69111,0.902191558441558,13436,0.047483766233767,55675,1,11,1,0,10,0,6,6,0,5,3,0,0,111,GA
org.sourceforge.ifx.framework.element.DepAppMsgRec,class,1,4473,0.916666666666667,2770,0.083333333333333,1703,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
com.allenstudio.ir.event.DateChooserEvent,class,1,40732,0.907407407407407,6889,0.092592592592593,33843,0,3,1,0,0,0,3,3,0,2,0,0,0,48,GA
dash.examples.buildConsumers.ParentComponent,class,0.9375,68758,0.916666666666667,4880,0.020833333333333,63878,6,2,1,0,0,1,2,2,0,0,0,0,0,32,GA
osa.ora.server.beans.Status,class,1,15762,1,8730,0,7032,0,7,1,0,0,15,7,7,0,3,0,0,0,40,GA
wheel.components.XmlEntityRef,class,0.916666666666667,71294,0.777777777777778,18330,0.138888888888889,52964,2,3,3,0,1,1,3,3,0,1,0,0,0,35,GA
org.sourceforge.ifx.framework.element.CardPrefAudRq,class,1,3921,0.916666666666667,2261,0.083333333333333,1660,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.element.DaysCall,class,0.9375,62428,0.916666666666667,1560,0.020833333333333,60868,1,2,4,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.element.CardPrefInqRq,class,1,3744,0.916666666666667,1912,0.083333333333333,1832,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
com.lts.application.RepositoryListenerHelper,class,0.988636363636364,66087,0.883116883116883,72012,0.105519480519481,-5925,3,6,2,0,4,0,3,3,0,3,3,3,0,54,RANDOM
jaw.template.ModeloDeAplicacao,class,0.673986619926928,78688,0.618858414798723,77595,0.055128205128205,1093,3,19,1,0,15,81,14,14,1,5,0,0,1,105,GA
org.sourceforge.ifx.framework.element.DevSiuCimGuidelight,class,1,23292,0.916666666666667,1783,0.083333333333333,21509,1,2,4,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.element.DevDetailPIN,class,1,3430,0.916666666666667,4699,0.083333333333333,-1269,1,2,2,0,1,1,2,2,0,0,0,0,0,40,RANDOM
org.sourceforge.ifx.framework.complextype.PmtAuthInqRs_Type,class,1,19397,0.973118279569892,73605,0.026881720430108,-54208,13,26,1,1,1,253,26,26,0,13,1,0,0,260,RANDOM
net.sourceforge.squirrel_sql.client.gui.db.SQLAliasConnectionProperties,class,1,8957,1,6167,0,2790,0,6,1,0,0,9,6,6,0,4,0,1,0,74,GA
org.heal.servlet.userreview.ApproveUserReviewAction,class,0.582589285714286,87426,0.138605442176871,71759,0.443983843537415,15667,6,9,1,0,14,1,2,2,0,0,0,0,4,47,GA
org.sourceforge.ifx.framework.element.CustStatusModRs,class,1,4012,0.916666666666667,2956,0.083333333333333,1056,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
ghm.follow.gui.Menu,class,1,30228,0.904761904761905,15859,0.095238095238095,14369,1,3,7,0,10,3,3,3,0,0,0,0,0,45,GA
org.sourceforge.ifx.framework.complextype.PassbkStatusInqRq_Type,class,1,10710,0.961538461538462,14666,0.038461538461538,-3956,6,12,1,1,1,36,12,12,0,6,1,0,0,134,RANDOM
osa.ora.server.admin.AdminApp,class,0.139248136123136,79054,0.222797017797018,84376,-0.083548881673882,-5322,11,60,1,0,86,16,40,40,1,17,0,1,12,344,RANDOM
net.sourceforge.squirrel_sql.client.FileTransformer,class,0.884784226190476,93332,0.854039115646258,85428,0.030745110544218,7904,2,7,1,0,17,1,2,1,2,0,0,0,1,89,GA
org.heal.servlet.cataloger.SaveControlledVocabularyMultipleAction,class,0.478491967359429,75405,0.212258808279145,67931,0.266233159080284,7474,10,18,1,0,23,6,4,2,0,0,0,0,2,95,GA
macaw.businessLayer.Category,class,0.939236111111111,72756,0.81547619047619,9622,0.123759920634921,63134,5,8,2,0,5,15,6,6,2,0,0,0,2,99,GA
org.fixsuite.message.view.ListView,class,0.354523288726787,74960,0.301129090851403,77599,0.053394197875384,-2639,15,45,33,0,62,5,14,11,0,23,0,9,4,396,RANDOM
net.virtualinfinity.atrobots.config.RobotFile,class,0.965277777777778,78657,0.733333333333333,11279,0.231944444444445,67378,3,8,2,0,11,2,5,3,1,2,0,0,1,42,GA
