@relation CB10PSB4SE_MEAN-weka.filters.unsupervised.attribute.Remove-R1-10

@attribute INT-INT numeric
@attribute INT-FLOAT numeric
@attribute FLOAT-FLOAT numeric
@attribute BOOL-BOOL numeric
@attribute REF-REF {RANDOM,0,0.333333,0.416667,0.025641,0.5,GA,1,0.033333,0.125,1.75,0.166667,0.25,0.337278,0.2,0.423077,0.39887,0.4,0.049668,0.10754,0.003077,0.044444,0.08,0.034483,0.00297,0.375,0.090909,0.361111,0.111111,1.071428,0.083333,0.041667,0.190741,0.666667,0.555556,0.533333,0.57037,0.040816,0.343235,0.494777,0.7,0.133333,0.233333,0.09375,0.785714,0.266667,0.142857,0.047619,1.666667,0.466667,0.055719,0.020202,0.030303,0.642857,0.733333,0.444444,0.933333,0.004325,0.180952,0.833333,0.043478,0.75,0.732051,1.2,0.222222,0.024691,0.099432,1.255861,0.371429,0.004456,0.1,0.196429,2,0.296296}
@attribute REF-NULL numeric
@attribute VARVAR numeric
@attribute VAREXP numeric
@attribute VARMETHOD numeric
@attribute VARCONST numeric
@attribute VARARRAY numeric
@attribute EXPEXP numeric
@attribute EXPMETHOD numeric
@attribute EXPCONST numeric
@attribute EXPARRAY numeric
@attribute METHODMETHOD numeric
@attribute METHODCONST numeric
@attribute METHODARRAY numeric
@attribute CONSTCONST numeric
@attribute CONSTARRAY numeric
@attribute ARRAYARRAY numeric
@attribute NLp numeric
@attribute NNLp numeric
@attribute Nodes numeric
@attribute Edges numeric
@attribute CompCicl numeric
@attribute NPths numeric
@attribute PS numeric
@attribute NCtr numeric
@attribute NEl numeric
@attribute NCtt numeric
@attribute NVar numeric
@attribute NEx numeric
@attribute NMC numeric
@attribute NIC numeric
@attribute NIntC numeric
@attribute NEC numeric
@attribute NInt numeric
@attribute NFlt numeric
@attribute NNull numeric
@attribute NArr numeric
@attribute NStr numeric
@attribute NObj numeric
@attribute NLExp numeric
@attribute UPC numeric
@attribute Args numeric
@attribute Lob numeric
@attribute CLASS {GA,RANDOM}

@data
0.73136,83609,-0.05784,1.057374,RANDOM,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0.133333,3.733333,0,0,1.4,0,0,0,44,72,30,30,7.833334,5.266667,23.533333,5.8,7.6,0,10.133333,0,6.7,2.766667,6.133333,0,2.533333,0,0,12.8,0,1,1,275,GA
0,0,0,0.5,0.333333,0.25,0.333333,0,0,0.583333,0,0,0,0,0,0,0.694444,0,0.388889,0,0,0.333333,0,5.666667,6.333333,3,3,4.111111,2,6,2.055556,2.138889,0,1.805556,0.111111,0,1.694444,1,0,1.555556,0.444444,0,3.444444,0,0.333333,1,31.333333,GA
0,0,0,0.666667,0,0,0,0,0,1,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,4,4,3,3,2.666667,1.666667,6,1.666667,2.333333,0,2,0,0,2,3.333334,0,0,0,0,2.666667,0,0,0,16,GA
0,0,0,0.916667,0.416667,0,0.416667,0,0,0,0,0,0,0,0,0,0.916667,0,0,0,0,0,0,4.25,3.75,2.5,2.5,2.583333,1.333333,3.583333,1.166667,1.5,0,0.916667,0.25,0,0.666667,1.833333,0,0.25,0,0,1.5,0,0.25,0,25,GA
0,0,0,0,0,0,0,0,0.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2.5,2.5,2.666667,1.333333,3,0,1.666667,0.5,0.833333,0,0,0.833333,0,0,0,0,0,2.5,0,0,0,15,RANDOM
0,0,0,0.806516,0.025641,0.025641,0.025641,0,0.067521,0.182401,0,0,0.162507,0,0,0,1.968595,0,0.021978,0.012821,0,0.512821,0.025641,6.923077,8,3.948718,3.948718,4.494711,2.467105,9.03474,3.260065,1.080625,0.025641,4.668409,1.937562,0.352337,2.159796,3.874478,0,0.744877,0.578449,0,4.00611,0,0.076923,0.846154,34.897436,RANDOM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2.5,2.5,2.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,GA
0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1,0,4,4,2,2,4,1.5,7.5,1.5,2.25,0,3.75,0,3,0.75,3,0,0,0,0,4.5,0,1,0,25,RANDOM
0,0,0,1.285714,0.5,0.857143,0.5,0,0,2.178572,0,0,0.214286,0,0,0,2.464286,0,0,0,0,0.5,0,17,23,10.5,10.5,7.392857,5.357143,14.178572,5.928572,4.285715,0,3.964286,1.714286,0.464286,1.285714,4.142857,0,3.071428,0.428571,1.571429,5.928571,0,0.5,0,61,GA
