@relation 'CBCK-weka.filters.unsupervised.attribute.Remove-R1-8-weka.filters.unsupervised.attribute.Remove-R3-4,7-13'

@attribute CBO numeric
@attribute WNC numeric
@attribute RFC numeric
@attribute LCOM numeric
@attribute LOC numeric
@attribute CLASS {GA,RANDOM}

@data
1,11,10,0,111,GA
1,2,1,1,40,GA
0,3,0,0,48,GA
6,2,0,1,32,GA
0,7,0,15,40,RANDOM
2,3,1,1,35,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
3,6,4,0,54,GA
3,19,15,81,105,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
13,26,1,253,260,GA
0,6,0,9,74,RANDOM
6,9,14,1,47,GA
1,2,1,1,40,GA
1,3,10,3,45,GA
6,12,1,36,134,GA
11,60,86,16,344,RANDOM
2,7,17,1,89,GA
10,18,23,6,95,GA
5,8,5,15,99,GA
15,45,62,5,396,GA
3,8,11,2,42,GA
2,2,2,1,47,RANDOM
4,10,6,10,131,GA
3,14,23,6,130,GA
2,4,2,6,52,GA
4,9,5,1,36,GA
8,40,37,0,259,GA
1,3,0,0,25,GA
4,4,11,0,59,GA
19,30,55,80,299,RANDOM
4,8,1,10,98,GA
1,2,1,1,40,GA
15,30,1,351,296,GA
6,12,1,36,134,GA
2,4,1,0,62,GA
7,14,1,55,152,GA
1,2,1,1,40,GA
9,16,28,3,116,GA
1,2,0,1,30,RANDOM
1,2,1,1,40,GA
0,8,5,0,76,GA
1,1,0,0,9,RANDOM
2,4,1,0,62,GA
0,28,1,0,183,GA
0,2,0,0,27,GA
8,22,16,19,154,GA
42,88,107,908,588,RANDOM
4,8,1,10,98,GA
7,13,15,20,131,GA
0,6,0,0,46,GA
9,18,1,105,188,GA
1,2,1,1,40,GA
4,8,1,10,98,GA
2,5,10,1,59,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
0,1,1,0,12,RANDOM
3,2,5,0,24,RANDOM
3,6,1,3,80,GA
3,6,1,3,80,GA
0,0,0,0,3,RANDOM
1,2,1,1,40,GA
7,21,10,34,127,GA
13,26,1,253,260,GA
2,25,18,0,127,GA
1,1,0,0,21,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
6,12,1,36,134,GA
13,26,1,253,260,GA
0,19,5,42,119,GA
4,2,0,1,29,GA
2,4,1,0,62,GA
4,25,16,0,155,GA
7,20,12,11,103,GA
4,61,31,213,190,GA
1,23,11,0,189,GA
8,98,101,11,374,GA
1,5,18,8,96,GA
13,46,32,30,226,RANDOM
13,26,1,253,260,GA
67,134,1,8515,1232,GA
7,4,0,6,76,GA
2,5,7,0,51,GA
5,10,1,21,116,RANDOM
13,26,1,253,260,GA
10,32,31,9,239,GA
3,6,1,3,80,GA
9,4,4,6,72,GA
1,2,1,1,40,GA
1,12,19,0,108,GA
1,2,1,1,40,RANDOM
6,12,1,36,134,GA
4,1,1,0,13,GA
1,2,1,1,40,GA
15,30,1,351,296,GA
0,5,10,1,73,GA
10,20,1,136,206,GA
11,22,1,171,224,GA
4,5,3,1,38,RANDOM
1,2,1,1,40,GA
2,11,8,13,94,GA
7,13,6,39,84,GA
20,224,136,1429,1424,RANDOM
0,9,0,28,170,GA
9,19,29,33,244,RANDOM
2,4,1,2,97,GA
1,2,1,1,40,GA
27,51,113,166,589,RANDOM
4,8,1,10,98,GA
13,21,41,151,182,RANDOM
6,12,1,36,134,GA
6,56,22,178,343,GA
9,18,1,105,188,GA
13,26,1,253,260,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
1,21,49,67,232,GA
1,4,9,3,42,GA
1,2,1,1,40,GA
12,24,1,210,242,GA
8,20,12,11,103,GA
7,12,1,0,70,GA
1,39,29,42,191,RANDOM
1,2,1,1,40,GA
12,24,1,210,242,GA
4,6,9,6,34,RANDOM
3,6,1,3,80,GA
9,141,37,1557,1069,GA
2,20,20,6,150,GA
5,41,9,288,366,GA
12,24,1,210,242,GA
2,2,1,1,16,RANDOM
2,6,0,9,40,GA
7,36,28,143,228,GA
4,8,6,15,75,GA
9,18,1,105,188,GA
9,26,28,28,178,GA
18,259,132,220,1366,GA
25,50,1,1081,476,GA
1,3,2,0,56,GA
13,22,43,7,213,GA
7,10,10,10,139,GA
7,10,4,0,27,GA
10,27,27,0,208,RANDOM
1,2,1,1,40,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
6,61,46,38,602,GA
4,7,6,0,84,GA
6,14,17,0,95,RANDOM
6,12,1,36,134,GA
1,2,1,1,40,GA
4,8,1,10,98,GA
11,16,17,83,132,RANDOM
0,18,10,114,96,GA
3,10,9,1,121,GA
5,17,16,10,112,GA
1,26,4,0,237,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
28,56,1,1378,530,GA
0,3,3,0,29,GA
1,2,1,1,40,GA
13,26,1,253,260,GA
11,295,148,640,1136,RANDOM
0,1,0,0,60,RANDOM
2,13,32,31,207,GA
8,16,1,78,170,GA
6,7,8,1,40,GA
0,5,5,1,57,GA
1,1,4,0,43,RANDOM
6,35,14,26,214,RANDOM
5,11,6,8,58,GA
1,8,8,1,61,GA
3,3,3,3,52,RANDOM
2,0,0,0,69,RANDOM
0,13,7,0,106,GA
21,42,1,741,404,GA
6,12,1,36,134,GA
4,101,63,771,407,GA
2,11,16,7,153,RANDOM
5,23,12,10,205,GA
8,13,8,33,108,GA
14,21,39,3,245,GA
1,1,0,0,19,GA
7,13,15,0,134,GA
14,13,26,0,90,GA
4,5,0,10,59,GA
1,2,1,1,40,GA
2,4,1,0,41,GA
3,2,1,0,15,GA
6,3,9,1,37,GA
0,3,10,3,36,RANDOM
1,2,1,1,40,GA
1,2,1,1,40,GA
2,24,28,45,167,RANDOM
11,40,35,3,162,GA
12,24,1,210,242,GA
0,6,0,9,60,RANDOM
14,28,1,300,278,GA
6,12,1,36,134,GA
6,56,54,288,412,RANDOM
3,6,1,3,80,GA
1,2,1,1,40,GA
18,175,150,1611,2284,GA
1,2,1,1,40,GA
3,6,1,3,80,GA
7,47,73,321,572,RANDOM
6,19,38,24,129,GA
5,6,2,1,71,GA
2,9,9,12,163,GA
5,15,6,50,128,GA
29,110,81,1148,980,RANDOM
1,2,1,1,40,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
4,8,1,10,98,GA
1,9,10,2,73,GA
3,12,12,6,65,GA
2,7,0,15,98,GA
8,34,0,561,202,GA
2,2,12,0,59,RANDOM
0,19,4,32,141,GA
12,21,17,135,82,GA
7,26,14,95,249,GA
4,18,16,13,173,GA
1,2,1,1,40,GA
9,22,16,19,153,GA
4,21,38,4,233,GA
5,10,1,21,116,GA
18,58,62,96,579,GA
2,2,4,0,31,GA
8,3,7,1,33,RANDOM
7,27,13,70,237,GA
0,2,0,0,50,GA
6,25,11,0,82,RANDOM
4,7,3,0,89,GA
3,3,0,3,23,GA
6,18,18,0,109,GA
2,14,5,12,98,GA
5,10,1,21,116,GA
7,14,1,55,152,GA
2,5,8,3,53,GA
2,2,1,1,12,GA
1,24,12,90,195,GA
2,11,5,23,68,GA
1,2,0,1,12,RANDOM
1,3,3,1,20,GA
1,15,21,13,154,GA
4,8,1,10,98,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
8,53,25,500,536,RANDOM
2,4,1,0,62,GA
1,7,3,3,76,GA
4,8,1,10,98,GA
8,34,32,22,262,GA
1,7,5,0,136,GA
11,22,1,171,224,GA
2,12,8,55,102,GA
1,2,1,1,40,GA
0,2,0,0,38,RANDOM
3,14,15,17,98,GA
7,7,5,10,119,GA
5,6,6,1,29,GA
22,17,36,13,261,GA
4,9,8,4,90,RANDOM
9,18,1,105,188,GA
2,2,0,0,75,GA
1,6,4,0,50,GA
14,21,15,34,143,GA
0,3,7,3,24,RANDOM
11,10,15,0,58,RANDOM
3,3,1,1,14,GA
3,6,1,3,80,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
14,22,33,52,164,GA
1,1,0,0,26,RANDOM
12,24,1,210,242,GA
10,20,1,136,206,GA
4,6,8,0,56,GA
0,5,5,1,45,GA
1,2,1,1,40,GA
5,11,5,20,44,GA
14,28,1,300,278,GA
12,24,1,210,242,GA
4,8,1,10,98,GA
1,2,1,1,40,GA
3,10,9,0,85,GA
7,11,15,1,130,GA
1,1,0,0,21,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
1,43,26,66,225,RANDOM
3,16,15,3,93,GA
12,24,1,210,242,GA
1,1,0,0,8,GA
2,27,12,66,183,GA
7,63,35,22,435,RANDOM
6,37,17,106,173,RANDOM
3,2,3,1,43,GA
6,31,55,86,215,GA
1,15,11,6,128,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
8,15,8,8,89,GA
8,20,17,10,109,RANDOM
4,8,1,10,98,GA
7,29,29,0,192,GA
4,8,1,10,98,GA
7,24,44,128,385,RANDOM
6,40,4,229,173,GA
5,26,23,0,149,RANDOM
12,24,1,210,242,GA
8,16,1,78,170,GA
6,12,20,21,133,GA
2,6,3,15,45,GA
12,24,1,210,242,GA
9,18,1,105,188,RANDOM
0,4,16,0,54,GA
3,13,2,11,76,GA
11,69,77,1546,559,GA
3,6,2,9,73,GA
5,10,1,21,116,GA
6,12,1,36,134,GA
1,2,1,1,40,GA
4,14,16,0,104,GA
11,16,27,13,104,GA
2,15,2,8,52,GA
7,14,1,55,152,GA
5,10,1,21,116,GA
2,4,0,0,63,GA
2,3,1,1,63,RANDOM
8,27,21,138,201,RANDOM
8,7,12,2,72,GA
12,24,1,210,242,GA
4,11,9,0,51,GA
11,47,55,221,415,GA
1,2,1,1,40,GA
10,20,1,136,206,GA
1,12,0,54,51,GA
3,6,1,3,80,GA
3,4,9,1,92,RANDOM
6,12,13,5,81,GA
1,8,0,22,37,GA
1,2,1,1,40,GA
2,43,6,549,328,GA
9,5,22,1,77,GA
2,0,0,0,63,RANDOM
16,14,15,89,169,GA
5,6,23,0,130,GA
0,5,11,0,60,GA
1,2,1,1,40,GA
19,3,5,0,128,GA
1,5,2,0,74,GA
2,17,9,29,169,RANDOM
0,2,19,1,42,GA
0,15,0,91,266,GA
1,2,1,1,40,GA
5,45,31,24,419,GA
1,40,19,413,273,GA
1,12,0,50,73,RANDOM
5,3,1,1,36,GA
2,3,0,1,49,RANDOM
7,14,1,55,152,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
8,117,79,1906,1177,RANDOM
3,21,24,37,315,RANDOM
0,2,0,0,34,GA
1,6,0,0,44,GA
1,2,1,1,40,GA
1,16,10,83,203,GA
6,12,1,36,134,GA
7,14,1,55,152,GA
7,50,62,0,371,GA
1,2,1,1,40,GA
1,1,1,0,17,GA
17,34,1,465,332,GA
1,19,18,3,267,RANDOM
7,46,63,165,775,RANDOM
10,36,0,474,578,GA
7,12,1,0,70,GA
0,12,9,0,75,RANDOM
12,24,1,210,242,GA
3,1,9,0,16,RANDOM
7,7,4,1,46,RANDOM
2,20,3,70,206,GA
0,0,0,0,17,RANDOM
3,6,6,0,65,RANDOM
2,2,6,1,39,GA
2,6,5,0,36,GA
11,73,0,1541,1271,GA
1,2,1,1,40,GA
5,7,2,15,37,RANDOM
14,34,37,186,212,GA
2,3,1,0,32,GA
11,22,1,171,224,GA
1,3,2,1,28,GA
5,14,26,18,97,GA
4,20,11,0,108,GA
32,64,1,1830,602,GA
