@relation 10PCK-weka.filters.unsupervised.attribute.Remove-R1-8

@attribute CBO numeric
@attribute WNC numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute RFC numeric
@attribute LCOM numeric
@attribute NOM numeric
@attribute NOPM numeric
@attribute NOSM numeric
@attribute NOF numeric
@attribute NOPF numeric
@attribute NOSF numeric
@attribute NOSI numeric
@attribute LOC numeric
@attribute CLASS {GA,RANDOM}

@data
1,11,1,0,10,0,6,6,0,5,3,0,0,111,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
0,3,1,0,0,0,3,3,0,2,0,0,0,48,GA
6,2,1,0,0,1,2,2,0,0,0,0,0,32,GA
0,7,1,0,0,15,7,7,0,3,0,0,0,40,GA
2,3,3,0,1,1,3,3,0,1,0,0,0,35,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
1,2,4,0,1,1,2,2,0,0,0,0,0,40,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
3,6,2,0,4,0,3,3,0,3,3,3,0,54,GA
3,19,1,0,15,81,14,14,1,5,0,0,1,105,GA
1,2,4,0,1,1,2,2,0,0,0,0,0,40,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,RANDOM
13,26,1,1,1,253,26,26,0,13,1,0,0,260,RANDOM
0,6,1,0,0,9,6,6,0,4,0,1,0,74,GA
6,9,1,0,14,1,2,2,0,0,0,0,4,47,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
1,3,7,0,10,3,3,3,0,0,0,0,0,45,GA
6,12,1,1,1,36,12,12,0,6,1,0,0,134,RANDOM
11,60,1,0,86,16,40,40,1,17,0,1,12,344,RANDOM
2,7,1,0,17,1,2,1,2,0,0,0,1,89,GA
10,18,1,0,23,6,4,2,0,0,0,0,2,95,GA
5,8,2,0,5,15,6,6,2,0,0,0,2,99,GA
15,45,33,0,62,5,14,11,0,23,0,9,4,396,RANDOM
3,8,2,0,11,2,5,3,1,2,0,0,1,42,GA
2,2,2,0,2,1,2,0,0,0,0,0,0,47,GA
4,10,3,1,6,10,9,8,0,3,0,0,1,131,GA
3,14,6,0,23,6,4,1,0,11,0,1,8,130,GA
2,4,2,0,2,6,4,4,0,0,0,0,20,52,GA
4,9,1,0,5,1,2,1,0,0,0,0,0,36,GA
8,40,2,0,37,0,9,7,0,4,0,0,2,259,GA
1,3,1,0,0,0,3,3,0,1,0,0,0,25,GA
4,4,3,0,11,0,2,2,0,4,0,2,4,59,GA
19,30,5,0,55,80,15,8,0,6,0,2,10,299,RANDOM
4,8,1,1,1,10,8,8,0,4,1,0,0,98,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
15,30,1,1,1,351,30,30,0,15,1,0,0,296,RANDOM
6,12,1,1,1,36,12,12,0,6,1,0,0,134,RANDOM
