@relation CBSB4SE_SUM-weka.filters.unsupervised.attribute.Remove-R1-10

@attribute INT-INT numeric
@attribute INT-FLOAT numeric
@attribute FLOAT-FLOAT numeric
@attribute BOOL-BOOL numeric
@attribute REF-REF numeric
@attribute REF-NULL numeric
@attribute VARVAR numeric
@attribute VAREXP numeric
@attribute VARMETHOD numeric
@attribute VARCONST numeric
@attribute VARARRAY numeric
@attribute EXPEXP numeric
@attribute EXPMETHOD numeric
@attribute EXPCONST numeric
@attribute EXPARRAY numeric
@attribute METHODMETHOD numeric
@attribute METHODCONST numeric
@attribute METHODARRAY numeric
@attribute CONSTCONST numeric
@attribute CONSTARRAY numeric
@attribute ARRAYARRAY numeric
@attribute NLp numeric
@attribute NNLp numeric
@attribute Nodes numeric
@attribute Edges numeric
@attribute CompCicl numeric
@attribute NPths numeric
@attribute PS numeric
@attribute NCtr numeric
@attribute NEl numeric
@attribute NCtt numeric
@attribute NVar numeric
@attribute NEx numeric
@attribute NMC numeric
@attribute NIC numeric
@attribute NIntC numeric
@attribute NEC numeric
@attribute NInt numeric
@attribute NFlt numeric
@attribute NNull numeric
@attribute NArr numeric
@attribute NStr numeric
@attribute NObj numeric
@attribute NLExp numeric
@attribute UPC numeric
@attribute Args numeric
@attribute Lob numeric
@attribute CLASS {RANDOM,GA}

@data
0,0,0,2.798701,0,0,0,0.5,0,1.857143,0,0,0,1.5,0,0,3.584416,0,0,0,0,2,0,31,53,30,31,20.262986,9.006493,60.058441,20.168831,13.227273,1.564935,25.097403,1.5,0.571429,23.025973,23.097403,0,0.285714,8.012987,5.357143,29.811687,0,1,3,270,RANDOM
0,0,0,0.666667,0,0,0,0.666667,0.666667,2,0,0,0,0,0,0,0.666667,0,0,0,0,2,0,12,12,6,6,8.666667,4,23.333334,5.333333,8,0,10,0,9.333333,0.666667,8.666667,0,0,1.333333,3.333333,14.666666,0,0,3,93,GA
0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,1,0,9,12,5,5,6,3.2,17.6,3.6,0.8,0,13.2,1,3.6,8.6,4.4,0,1,0.8,0,11.8,0,0,0,66,GA
0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,14,13,8,8,12.5,5,21,6,8.5,0,6.5,1.5,0,5,11,0,0,2,3,10,0,0,2,106,GA
0,0,0,4.345238,0,0,0,0,0,1,0,0,0,0,0,0,4.345238,0,0,0,0,1,0,25,33,22,21,16.821428,7.892857,33.309524,12.666667,9.119048,2.547619,8.97619,0,2.25,6.72619,8.690476,0,1,12.476191,0,13.75,0,1,7,223,GA
0,0,0,3.3,0,0,0,0,0,2.3,0,0,0,0,0,0,1.8,0,1,0,0,0,0,16,23,10,10,7.5,5.1,11.4,6.1,3.1,0,2.2,1,0.8,0.4,9.599999,0,0.3,0,0,1.5,0,1,0,97,GA
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,8,8,9.333333,3.666667,5.666667,2,2,1.666667,0,0,0,0,0,0,2,2,0,2,0,0,2,142,GA
0,0,0,2.2,1,2.5,1,0,0,3.5,0,0,0,0,0,0,2.066667,0,0,0,0,0,0,23,27,13,13,9.6,6.566667,15.933333,6.566667,7.1,0,2.266667,0.666667,0.6,0,4.4,0,3.366667,0,0,7.166667,0,1,0,79,GA
0,0,0,1.933333,0,2,0,0,0,2,0,0,0,0,0,0,6.633333,0,0.8,0,0,1,0,30,37,16,16,13.2,9.433333,35.099998,10.233333,9.166667,0,15.7,0,7.466666,8.233333,7.266667,0,5.8,0,0,22.033333,0,0,1,93,GA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,12,5,5,5.8,1.6,4.6,2,1,0.6,1,0,0,1,0,0,1,1,0,2,0,0,0,168,RANDOM
0,0,0,0,0,0,0,0.333333,0,3.716667,0,0,0,0,0,0,0,0,0,0,0,1,0,46,48,35,34,25.625,12.475,17.858333,4.383333,5.05,8.425,0,0,0,0,2.333333,0,3.05,0.8,0,0.8,0,0,10,212,GA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,6,4,4,5,2,18,6,6,0,6,2,4,0,0,0,2,4,0,12,0,0,6,52,GA
0.077109,72753,0.096084,1.182783,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,GA
0,0,0,2.25,0,0,0,0.75,0,1,0,0,0,0,0,0,2.25,0,0,0,0,1,0,11,13,6,6,9,4,27.75,6,11,0,10.75,0,0,10.75,13,0,0,0,3,14.75,0,1,1,54,GA
0,0,0,2.5,0,3,0,0,0,3,0,0,0,0,0,0,3.5,0,0,0,0,0,0,22,25,16,16,15,8.5,18.5,7.5,5.5,2,3.5,0,0,3.5,5,0,4,1,0,6.5,0,0,1,98,GA
